"ID","Title","Created By","References","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)"
"C361","Violate with 1 test beacon, 2 reference beacons","F17138803802513","","Configure 1 Blufi and 3 Beacons.
In Bluzone web, go to Policies side menu and create a new policy:
...Name = Any
...Description = Any
...Policy Type = Ambient Temperature

Click Save and Continue.

Continue editing policy:
...Set Beacon 1 and Beacon 2 as Reference Ambient Beacons
...Deviation = 3
...Use Global Scope is unchecked
...Policy Devices list contains beacon 3
...Notifications = None

Place beacon 3 in a location with temperature 3 degrees greater or less than the average temperature of the ambient beacons.
","","","","","",""
"C2635","Violate with 1 test beacon, 1 reference beacon non-global","F17138803802513","","Configure 1 Blufi and 2 Beacons.
In Bluzone web, go to Policies side menu and create a new policy:
...Name = Any
...Description = Any
...Policy Type = Ambient Temperature

Click Save and Continue.

Continue editing policy:
...Set Beacon 1 as Reference Ambient Beacon
...Deviation = 3
...Use Global Scope is unchecked
...Policy Devices list contains beacon 2
...Notifications = None

Place beacon 2 in a location with temperature 3 degrees greater or less than the average temperature of the ambient beacons.
","","","","","",""
"C362","Violate with 2 test beacons, 4 reference beacons","F17138803802513","","","","","","","",""
"C363","Violate with global test beacons, 2 reference beacons","F17138803802513","","","","","","","",""
"C364","Create policy with no reference beacons","F17138803802513","","","","","","","",""
"C365","Add reference beacon to existing policy","F17138803802513","","","","","","","",""
"C366","Delete a reference beacon from existing policy","F17138803802513","","","","","","","",""
"C367","Delete all reference beacons from existing policy, while alerting","F17138803802513","","","","","","","",""
"C368","Remove Ambient Beacon setting from beacon used in policy while alerting","F17138803802513","","","","","","","",""
"C369","Using Bluzone, delete a beacon currently being used as reference beacon","F17138803802513","","","","","","","",""
"C423","Using mobile app, delete a beacon currently being used as reference beacon","F17138803802513","","","","","","","",""
"C376","Using Bluzone, delete a beacon currently being used as a test beacon","F17138803802513","","","","","","","",""
"C424","Using mobile app, delete a beacon currently being used as a test beacon","F17138803802513","","","","","","","",""
"C370","Create policy where test beacon is also a reference beacon","F17138803802513","","","","","","","",""
"C373","Create multiple policies with same beacons","F17138803802513","","","","","","","",""
"C374","Create multiple policies with different beacons","F17138803802513","","","","","","","",""
"C375","Change to temperature range is reflected in alert behaviour","F17138803802513","","","","","","","",""
"C25","Create beacon battery policy - Global scope","F17138803802513","","
Navigate to Bluzone site, 
From left menu click on Policy
Click on create tab 
Add Policy Name = any name
Select  policy Type = Battery
Select namespace = Beacon
Select Scope = Use Global scope
Add Email= add user email
","","","","","",""
"C2563","Create beacon battery policy - Individual scope","F17138803802513","","Navigate to Bluzone site, 
From left menu click on Policy
Click on create tab 
Add Policy Name = any name
Select  policy Type = Battery
Select namespace = Beacon
Select Scope = Select individual Devices
Click Save and Continue button
Click Add button
From Policy devices list select the subject beacon and click on Save button 
Add Email= add user email

","","","","","",""
"C3356","Beacon battery replace alert - Global scope","Eber Garcia","","Given user allocate the subject beacon
Then user remove battery from the subject beacon
And an alert should be trigged 

When user navigate to Bluzone site,
Then From left menu click on Alerts tab
And user is redirected to Alert page","","","","","",""
"C2564","Beacon battery replace, email alert notification - Global scope","F17138803802513","","Givin User navigate to the email inbox and allocate the battery alert notification","","","","","",""
"C3355","Beacon battery replace - email cleared Alert notification - Global scope","Eber Garcia","","Given user allocate the subject beacon
Then user replace battery with a new one to the subject beacon
And an alert should be trigged

When user navigate to Bluzone site,
Then From left menu click on Alerts tab
And user is redirected to Alert page","","","","","",""
"C3357","Beacon battery replace alert - Individual scope","Eber Garcia","","Given user allocate the subject beacon
Then user remove battery from the subject beacon
And an alert should be trigged

When user navigate to Bluzone site,
Then From left menu click on Alerts tab
And user is redirected to Alert page","","","","","",""
"C3358","Beacon battery replace, email alert notification - Individual scope","Eber Garcia","","Givin User navigate to the email inbox and allocate the battery alert notification","","","","","",""
"C3359","Beacon battery replace - email cleared Alert notification - Individual scope","Eber Garcia","","Given user allocate the subject beacon
Then user replace battery with a new one to the subject beacon
And an alert should be trigged

When user navigate to Bluzone site,
Then From left menu click on Alerts tab
And user is redirected to Alert page","","","","","",""
"C3360","Beacon battery alert - non replacement battery device, at 84%","Eber Garcia","","Given user allocate the subject beacon
Then user click on Statistic tab
Then user notice the battery level has decreased below the 84% from its 100%
And an alert should be trigged

Givin the user had verify the Battery Level
Then From left menu click on Alerts tab
And user is redirected to Alert page","","","","","",""
"C3361","Beacon battery alert - non replacement battery device 84%- Email alert notification","Eber Garcia","","Givin User navigate to the email inbox and allocate the battery alert notification","","","","","",""
"C3363","Beacon battery alert - non replacement battery device, at 92%","Eber Garcia","","Given user allocate the subject beacon
Then user click on Statistic tab
Then user notice the battery level has decreased below the 92% from its 100%
And an alert should be trigged

Givin the user had verify the Battery Level
Then From left menu click on Alerts tab
And user is redirected to Alert page","","","","","",""
"C3362","Beacon battery alert - non replacement battery device 92%- Email alert notification","Eber Garcia","","Givin User navigate to the email inbox and allocate the battery alert notification","","","","","",""
"C290","Blufi violation 20 percent, global scope","F17138803802513","","","","","","","",""
"C291","Blufi violation 99 percent, non-global scope","F17138803802513","","","","","","","",""
"C292","Blufi violation 50 percent, email notification","F17138803802513","","","","","","","",""
"C293","Blufi end violation","F17138803802513","","","","","","","",""
"C294","Blufi violation 3 policy devices","F17138803802513","","","","","","","",""
"C295","Blufi delete policy devices","F17138803802513","","","","","","","",""
"C2810","Policy Name includes Hebrew characters","F17138803802513","","Establish Policy Name to include some UTF-8 Hebrew characters: Nir - בדיקת טמפרטורה

On Blufi, change Device Name to include Hebrew characters: Nir - בדיקת טמפרטורה

Violate the policy.
   ","","","","","",""
"C3526","Verify Battery Discharge Threshold in battery_type Table","Eber Garcia","","Open the admin interface or database management system that interacts with the battery_type table.
Verify the Presence of Entries in the battery_type Table:
Run a query or view the battery types to ensure that the battery_type table contains entries with and without a discharge_threshold value.
SQL Query:


SELECT * FROM battery_type WHERE discharge_threshold IS NOT NULL;

3.	Update or Add a New Entry (Optional):
	•	(Optional) Add or update an entry in the battery_type table with a valid discharge_threshold value if no valid values are present.
SQL Query:

UPDATE battery_type 
SET discharge_threshold = 2.5 
WHERE battery_type_id = 15;

4.	Check Associated Battery Policy:
	•	In the Bluzone UI, navigate to the Battery Policy section.
	•	Create or update a battery policy for a beacon associated with a battery type that has a discharge_threshold value.
	5.	Simulate Voltage Drop for Beacon:
	•	Simulate a drop in voltage for a beacon with a battery type that references the discharge_threshold. Ensure that the beacon’s voltage drops below the threshold stored in the database.
	6.	Verify System Behavior:
	•	Ensure that when the beacon’s voltage drops below the discharge_threshold, the system generates an alert.
	•	Check that the system references the correct threshold for the specific battery type from the battery_type table.
	7.	View Logs/Alerts:
	•	Check if the alert triggered based on the correct threshold by viewing logs or checking the alerts in the UI.
	•	Confirm that the alert matches the battery type’s discharge_threshold.","","","","","",""
"C1502","2 FOBs, 2 Feet, Duration = 30, 0 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 2 feet apart, facing 0 degrees (directly face-to-face).
","","","","","",""
"C1503","2 FOBs, 5 Feet, Duration = 30, 0 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 5 feet apart, facing 0 degrees (directly face-to-face).
","","","","","",""
"C1504","2 FOBs, 8 Feet, Duration = 30, 0 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 8 feet apart, facing 0 degrees (directly face-to-face).","","","","","",""
"C1521","2 FOBs, 2 Feet, Duration = 30, 45 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 2 feet apart, facing 45 degrees.","","","","","",""
"C1522","2 FOBs, 5 Feet, Duration = 30, 45 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 5 feet apart, facing 45 degrees.","","","","","",""
"C1524","2 FOBs, 8 Feet, Duration = 30, 45 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 8 feet apart, facing 45 degrees.","","","","","",""
"C1525","2 FOBs, 2 Feet, Duration = 30, 90 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 2 feet apart, facing 90 degrees.","","","","","",""
"C1526","2 FOBs, 5 Feet, Duration = 30, 90 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 5 feet apart, facing 90 degrees.","","","","","",""
"C1527","2 FOBs, 8 Feet, Duration = 30, 90 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 8 feet apart, facing 90 degrees.","","","","","",""
"C1528","3 FOBs, 2 Feet, Duration = 30, Equilateral","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 2 feet apart, roughly the shape of an equilateral triangle.
","","","","","",""
"C1536","3 FOBs, 5 Feet, Duration = 30, Equilateral","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 5 feet apart, roughly the shape of an equilateral triangle.
","","","","","",""
"C1537","3 FOBs, 8 Feet, Duration = 30, Equilateral","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 8 feet apart, roughly the shape of an equilateral triangle.","","","","","",""
"C1531","2 FOBs, 2 Feet, Duration = 30, BacktoBack 0 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 2 feet apart, back 0 degrees (directly back-to-back).
","","","","","",""
"C1533","2 FOBs, 5 Feet, Duration = 30, BacktoBack 0 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 5 feet apart, back 0 degrees (directly back-to-back).
","","","","","",""
"C1535","2 FOBs, 8 Feet, Duration = 30, BacktoBack 0 Degrees","F17138803802513","","In Bluzone, go to Policies side menu and create a Distance Violation policy, as follows:
...Duration = 30
...Automatically Clear Violations is selected
...Use Global Scope

Place the FOBs 8 feet apart, back 0 degrees (directly back-to-back).","","","","","",""
